TADIG_Code,ip_address_range
ARGCM,131.100.111.32/28
ARGCM,170.51.253.64/26
ARGCM,170.51.253.128/26
ARGCM,170.51.253.252/32
ARGCM,170.51.253.249/32
ARGCM,170.51.253.248/32
ARGCM,170.51.253.247/32
ARGCM,170.51.253.241/32
ARGCM,170.51.253.240/32
ARGCM,170.51.253.239/32
ARGCM,170.51.253.238/32
ARGCM,170.51.253.236/32
ARGCM,170.51.253.234/32
ARGCM,170.51.253.232/32
ARGCM,170.51.253.230/32
ARGCM,170.51.253.228/32
ARGCM,170.51.253.227/32
ARGCM,170.51.253.225/32
ARGCM,170.51.253.224/32
ARGCM,170.51.253.223/32
ARGCM,170.51.253.220/32
ARGCM,170.51.253.219/32
ARGCM,170.51.253.214/32
ARGCM,170.51.253.213/32
ARGCM,170.51.253.208/32
ARGCM,170.51.253.207/32
ARGCM,131.100.111.80/28
ARGCM,186.191.192.0/27
ARGCM,186.191.195.0/27
ARGCM,186.191.195.32/27
ARGCM,186.191.198.128/27
ARGCM,186.191.198.160/27
ARGCM,186.191.198.192/27
ARGCM,186.191.198.224/27
ARGCM,186.191.203.0/27
ARGCM,186.191.203.32/27
ARGCM,186.191.203.64/27
ARGCM,186.191.203.96/27
ARGTP,200.43.139.64/26
ARGTP,200.43.168.0/27
ARGTP,200.43.168.32/27
ARGTP,200.43.168.64/27
ARGTP,200.43.168.96/27
ARGTP,200.43.168.128/27
ARGTP,200.43.168.160/27
ARGTP,200.43.168.192/27
ARGTP,200.43.168.224/27
ARGTP,190.224.101.0/24
ARGTP,186.125.172.0/28
ARGTP,190.226.172.96/27
ARGTP,181.88.80.0/25
ARGTP,181.88.119.0/24
ARGTP,190.225.250.128/29
ARGTP,190.225.250.136/29
ARGTP,190.225.250.144/29
ARGTP,181.88.119.184/29
ARGTP,181.96.75.0/26
ARGTP,181.96.75.64/27
ARGTP,181.111.112.40/29
ARGTP,181.111.112.128/28
ARGTP,181.111.112.144/29
ARGTP,181.111.112.152/30
ARM01,212.73.91.192/27
ARM01,212.73.92.194/32
ARM01,212.73.92.193/32
ARM01,212.73.91.160/27
ARM05,217.76.2.0/26
ARM05,217.76.2.64/27
ARM05,217.76.2.96/29
ARM05,217.76.3.64/27
ARM05,217.76.2.0/25
ARM05,217.76.2.77/32
ARM05,217.76.2.94/32
ARM05,217.76.2.96/30
ARM05,217.76.2.97/32
ARM05,217.76.2.98/32
ARM05,217.76.2.171/32
ARM05,217.76.2.172/32
ARMOR,185.59.69.32/29
ARMOR,185.59.69.40/29
ARMOR,185.59.69.48/28
ARMOR,185.59.69.64/28
ARMOR,185.59.69.96/32
ARMOR,188.115.195.96/28
AUSOP,202.139.123.128/26
AUSOP,202.139.123.192/26
AUSOP,61.88.189.64/27
AUSOP,61.88.189.128/26
AUSOP,61.88.189.192/26
AUSOP,198.142.204.0/24
AUSOP,198.142.251.64/27
AUSOP,61.88.189.32/27
AUSOP,61.88.225.0/24
AUSOP,61.88.248.0/24
AUSOP,61.88.220.0/24
AUSOP,61.88.222.0/24
AUSOP,61.88.189.0/24
AUSOP,210.49.124.0/23
AUSOP,198.142.210.0/24
AUSOP,198.142.211.0/24
AUSOP,198.142.210.0/23
AUSOP,202.139.123.128/25
AUSOP,210.49.124.0/24
AUSOP,210.49.125.0/24
AUSOP,61.88.189.0/25
AUSOP,61.88.189.128/25
AUSTA,144.135.12.0/24
AUSTA,144.135.13.0/24
AUSTA,144.135.14.0/24
AUSTA,144.135.15.0/24
AUSTA,149.135.131.0/24
AUSTA,149.135.133.0/24
AUSTA,149.135.134.0/24
AUSTA,149.135.152.0/24
AUSTA,149.135.153.0/24
AUSTA,149.135.154.0/24
AUSTA,149.135.155.0/24
AUSTA,149.135.156.0/24
AUSTA,149.135.15.0/24
AUSTA,149.135.135.0/24
AUSTA,149.135.157.0/24
AUSTA,149.135.128.0/24
AUSTA,134.159.22.216/32
AUSTA,134.159.22.217/32
AUSTA,144.135.12.16/29
AUSTA,144.135.12.24/29
AUSTA,144.135.13.240/29
AUSTA,144.135.13.248/29
AUSTA,144.135.13.208/29
AUSTA,144.135.12.8/29
AUSVF,202.81.79.0/25
AUSVF,202.81.71.0/25
AUSVF,202.81.72.0/25
AUSVF,123.98.129.0/24
AUSVF,101.119.240.0/20
AUSVF,101.119.224.0/21
AUTCA,194.24.154.0/24
AUTCA,194.24.155.0/24
AUTCA,194.24.156.0/24
AUTCA,194.24.157.0/24
AUTCA,213.94.78.168/29
AUTCA,213.94.91.0/24
AUTCA,185.39.53.8/29
AUTCA,185.39.53.88/29
AUTCA,185.39.55.8/29
AUTCA,185.39.55.88/29
AUTCA,185.47.26.42/32
AUTCA,81.3.193.0/28
AUTCA,81.3.193.64/27
AUTHU,194.24.154.0/24
AUTHU,194.24.154.128/26
AUTHU,194.24.155.0/24
AUTHU,194.24.156.0/24
AUTHU,194.24.157.0/24
AUTHU,194.24.157.128/26
AUTHU,213.94.78.168/29
AUTHU,213.94.91.0/24
AUTHU,185.39.53.8/29
AUTHU,185.39.53.88/29
AUTHU,185.39.55.8/29
AUTHU,185.39.55.88/29
AUTHU,185.47.26.42/32
AUTHU,81.3.193.0/28
AUTHU,81.3.193.64/27
AUTMM,213.162.74.0/24
AUTMM,213.162.75.0/24
AUTMM,213.162.79.0/24
AUTMM,213.162.91.0/24
AUTMM,193.254.137.0/25
AUTMM,193.254.140.0/22
AUTMM,193.181.248.64/28
AUTMM,193.181.248.80/28
AUTMM,81.28.68.116/32
AUTMM,81.28.68.117/32
AUTMM,81.28.68.120/32
AUTMM,81.28.68.121/32
AUTMM,213.142.109.182/32
AUTMM,213.142.109.183/32
AUTMM,213.162.90.160/32
AUTMM,213.162.90.161/32
AUTMM,213.142.111.182/32
AUTMM,213.142.111.183/32
AUTMM,213.142.107.182/32
AUTMM,213.142.107.183/32
AUTMM,213.142.109.200/29
AUTMM,213.142.109.208/29
AUTMM,213.142.104.240/29
AUTMM,213.142.104.248/29
AUTMM,213.142.107.200/29
AUTMM,213.142.107.208/29
AUTMM,213.142.111.200/29
AUTMM,213.142.111.208/29
AUTMR,185.44.54.160/28
AUTMR,185.44.54.224/27
AUTMR,185.44.55.160/28
AUTMR,185.44.55.224/27
AUTMR,193.9.252.216/32
AUTMR,193.9.253.216/32
AUTMR,83.216.32.0/26
AUTMR,83.216.33.0/26
AUTMR,83.216.32.80/28
AUTMR,83.216.33.80/28
AUTPT,194.48.132.0/24
AUTPT,194.48.138.0/27
AUTPT,194.48.138.192/27
AUTPT,194.48.139.0/27
AUTPT,194.48.139.160/28
AUTPT,194.48.139.192/27
AUTPT,194.48.134.0/23
AUTPT,194.48.138.32/27
AUTPT,194.48.138.64/27
AUTPT,194.48.139.32/27
AUTPT,194.48.139.64/26
AUTTR,213.162.74.0/24
AUTTR,213.162.75.0/24
AUTTR,213.162.79.0/24
AUTTR,213.162.91.0/24
AUTTR,213.142.109.182/32
AUTTR,213.142.109.183/32
AUTTR,213.162.90.160/32
AUTTR,213.162.90.161/32
AUTTR,213.142.111.182/32
AUTTR,213.142.111.183/32
AUTTR,213.142.107.182/32
AUTTR,213.142.107.183/32
AUTTR,213.142.109.200/29
AUTTR,213.142.109.208/29
AUTTR,213.142.104.240/29
AUTTR,213.142.104.248/29
AUTTR,213.142.107.200/29
AUTTR,213.142.107.208/29
AUTTR,213.142.111.200/29
AUTTR,213.142.111.208/29
AZEAC,217.168.178.0/24
AZEAC,5.191.11.11/32
AZEAC,5.191.10.0/24
AZEAC,5.191.11.21/32
AZEAC,5.191.11.32/27
AZEAC,5.191.11.64/27
AZEAC,5.191.11.0/29
AZEAC,5.191.39.0/30
AZEAC,5.191.39.4/30
AZEAC,5.191.39.8/30
AZEAC,5.191.39.12/30
AZEAC,5.191.14.0/27
AZEAC,5.191.14.32/27
AZEAF,5.44.32.128/25
AZEAF,5.44.32.0/25
AZEBC,5.44.32.0/25
AZEBC,5.44.32.128/25
BELKO,217.72.232.0/24
BELKO,217.72.235.0/28
BELKO,217.72.231.128/25
BELKO,213.251.80.0/22
BELKO,217.72.231.0/25
BELKO,213.251.92.0/23
BELMO,212.224.254.0/24
BELMO,212.224.253.0/24
BELMO,212.224.252.0/24
BELMO,212.224.252.8/29
BELMO,212.224.252.16/29
BELMO,212.224.252.65/32
BELMO,212.224.252.80/28
BELMO,212.224.253.48/29
BELMO,212.224.253.56/29
BELMO,212.224.253.176/29
BELMO,212.224.253.184/29
BELMO,212.224.253.232/30
BELMO,212.224.218.0/24
BELMO,212.224.219.0/24
BELMO,212.224.252.40/29
BELTB,213.181.60.0/22
BELTB,37.184.152.0/21
BELTB,92.48.168.0/21
BELTN,213.251.80.0/22
BENSP,41.79.217.0/27
BENSP,41.79.217.168/29
BENSP,41.79.217.32/27
BENSP,197.234.219.168/29
BENSP,41.79.217.176/29
BENSP,41.79.217.192/28
BENSP,41.79.217.184/29
BENSP,41.79.217.208/28
BENSP,41.79.217.112/32
BENSP,197.234.219.112/32
BGDAK,202.134.8.64/28
BGDAK,202.134.10.0/25
BGDAK,202.134.14.16/28
BGDAK,103.242.23.128/25
BGDAK,103.25.251.96/27
BGDAK,58.145.191.64/26
BGDAK,42.0.7.64/26
BGDAK,103.25.248.16/28
BGDAK,202.134.10.192/28
BGDAK,103.242.22.128/28
BGDAK,58.145.184.16/28
BGDAK,58.145.184.40/29
BGDAK,103.25.249.96/29
BGDBL,203.223.94.0/23
BGDBL,116.58.206.0/23
BGDBL,103.15.166.0/24
BGDBL,103.244.14.0/24
BGR01,213.226.55.0/24
BGR01,213.226.58.0/24
BGR01,213.226.54.0/24
BGRCM,85.118.193.0/25
BGRCM,85.118.193.32/29
BGRCM,85.118.193.40/30
BGRCM,85.118.193.48/29
BGRCM,85.118.193.44/30
BGRCM,85.118.193.64/30
BGRCM,85.118.193.60/30
BGRCM,85.118.193.56/30
BGRCM,85.118.193.76/30
BGRCM,85.118.193.72/30
BGRCM,85.118.193.68/30
BGRCM,85.118.193.96/29
BGRCM,85.118.193.88/29
BGRCM,85.118.193.80/29
BGRCM,85.118.193.120/29
BGRCM,85.118.193.112/29
BGRCM,85.118.193.104/29
BGRCM,85.118.193.0/28
BGRCM,85.118.193.16/28
BGRCM,149.62.217.0/24
BGRVA,82.137.72.0/24
BHRMV,62.209.16.128/26
BHRMV,62.209.16.192/26
BHRMV,109.161.151.0/28
BHRMV,109.161.151.64/28
BHRMV,94.79.231.122/32
BHRMV,94.79.231.123/32
BIHPT,195.222.56.104/29
BIHPT,195.222.48.0/26
BIHPT,185.12.77.124/32
BIHPT,185.12.77.125/32
BIHPT,185.12.77.120/29
BIHPT,195.222.48.64/26
BIHPT,195.222.38.112/28
BLR02,185.20.113.192/26
BLR02,185.20.115.128/25
BLR02,185.20.114.0/24
BLR02,87.252.242.0/24
BLRMD,77.74.36.224/29
BLRMD,128.140.255.0/27
BLRMD,128.140.255.32/27
BLRMD,128.140.255.64/27
BLRMD,128.140.255.96/27
BLRMD,178.163.163.96/29
BLRMD,178.163.163.0/27
BLRMD,128.140.252.32/27
BLRMD,128.140.252.0/27
BLRMD,128.140.255.224/27
BLRMD,128.140.255.192/27
BRACL,200.169.127.0/27
BRACL,201.23.160.96/27
BRACL,201.23.164.0/24
BRACL,201.23.165.0/26
BRACL,201.23.165.64/29
BRACL,201.23.165.128/28
BRACL,201.23.165.192/26
BRACL,201.23.170.64/29
BRACL,201.23.170.128/28
BRACL,201.23.170.144/28
BRACL,201.23.170.192/29
BRACL,201.23.171.0/26
BRACL,201.23.171.64/29
BRACL,201.23.171.128/28
BRACL,201.23.171.192/26
BRACL,201.23.173.0/26
BRACL,201.23.173.96/28
BRACL,201.23.174.0/26
BRACL,201.23.174.64/29
BRACL,201.23.174.128/28
BRACL,201.23.174.192/26
BRACL,201.23.182.32/28
BRACL,201.23.182.64/29
BRACL,201.23.182.80/29
BRACL,201.23.182.128/28
BRACL,201.23.182.144/28
BRACL,201.23.182.192/29
BRACL,201.23.183.0/26
BRACL,201.23.183.128/26
BRACL,201.23.187.0/27
BRACL,201.23.187.64/27
BRACL,201.23.187.96/27
BRACL,201.23.187.128/27
BRACL,201.23.187.160/27
BRACL,201.23.187.224/27
BRACL,201.23.187.192/27
BRACL,201.23.188.0/26
BRACL,201.23.188.96/28
BRACL,201.23.191.64/29
BRACL,201.23.191.128/28
BRACL,201.23.191.144/28
BRACL,201.23.191.192/29
BRACL,201.23.189.0/24
BRACL,201.23.166.0/27
BRACL,201.23.187.32/27
BRACL,201.23.183.192/26
BRACL,201.23.191.0/26
BRACL,201.23.183.64/27
BRACL,201.23.183.96/27
BRACL,201.23.175.0/24
BRACL,190.109.84.0/24
BRACL,190.109.85.0/24
BRACL,201.23.173.192/29
BRACL,201.23.173.200/29
BRACL,201.23.185.56/29
BRACL,201.23.188.192/29
BRACL,201.23.190.40/29
BRACL,201.23.190.48/28
BRACL,201.23.190.32/29
BRACL,201.23.190.16/28
BRACL,193.254.137.0/25
BRACL,193.254.140.0/22
BRACL,193.254.163.128/25
BRACL,201.23.174.72/29
BRACL,201.23.174.96/28
BRACL,201.23.174.112/28
BRACL,201.23.190.96/27
BRACL,201.23.190.0/24
BRACL,201.23.183.199/32
BRACL,201.23.183.200/32
BRACL,201.23.183.197/32
BRACL,201.23.183.198/32
BRACL,201.23.183.207/32
BRACL,201.23.183.201/32
BRACL,201.23.183.251/32
BRACS,189.40.99.0/24
BRACS,189.40.96.0/23
BRACS,189.40.243.0/24
BRACS,189.40.242.0/25
BRACS,189.40.241.0/24
BRACS,189.40.240.0/24
BRACS,189.40.173.0/24
BRACS,189.40.172.0/24
BRACS,189.40.169.0/24
BRACS,189.40.168.0/24
BRACS,189.40.167.0/24
BRACS,189.40.166.0/24
BRACS,131.166.134.0/24
BRACS,131.166.136.0/24
BRACS,135.92.40.0/24
BRACS,135.92.41.0/24
BRACS,189.40.176.0/21
BRACS,189.40.98.0/23
BRACS,79.140.91.112/29
BRACS,102.176.132.16/29
BRACS,213.144.191.48/29
BRACS,213.144.191.200/29
BRAPS,189.40.99.0/24
BRAPS,189.40.96.0/23
BRAPS,189.40.243.0/24
BRAPS,189.40.242.0/25
BRAPS,189.40.241.0/24
BRAPS,189.40.240.0/24
BRAPS,189.40.173.0/24
BRAPS,189.40.172.0/24
BRAPS,189.40.169.0/24
BRAPS,189.40.168.0/24
BRAPS,189.40.167.0/24
BRAPS,189.40.166.0/24
BRAPS,131.166.134.0/24
BRAPS,131.166.136.0/24
BRAPS,135.92.40.0/24
BRAPS,135.92.41.0/24
BRAPS,189.40.176.0/21
BRAPS,189.40.98.0/23
BRAPS,79.140.91.112/29
BRAPS,102.176.132.16/29
BRAPS,213.144.191.48/29
BRAPS,213.144.191.200/29
BRARN,189.40.99.0/24
BRARN,189.40.96.0/23
BRARN,189.40.243.0/24
BRARN,189.40.242.0/25
BRARN,189.40.241.0/24
BRARN,189.40.240.0/24
BRARN,189.40.173.0/24
BRARN,189.40.172.0/24
BRARN,189.40.169.0/24
BRARN,189.40.168.0/24
BRARN,189.40.167.0/24
BRARN,189.40.166.0/24
BRARN,131.166.134.0/24
BRARN,131.166.136.0/24
BRARN,135.92.40.0/24
BRARN,135.92.41.0/24
BRARN,189.40.176.0/21
BRARN,189.40.98.0/23
BRARN,79.140.91.112/29
BRARN,102.176.132.16/29
BRARN,213.144.191.48/29
BRARN,213.144.191.200/29
BRASP,189.40.99.0/24
BRASP,189.40.96.0/23
BRASP,189.40.243.0/24
BRASP,189.40.242.0/25
BRASP,189.40.241.0/24
BRASP,189.40.240.0/24
BRASP,189.40.173.0/24
BRASP,189.40.172.0/24
BRASP,189.40.169.0/24
BRASP,189.40.168.0/24
BRASP,189.40.167.0/24
BRASP,189.40.166.0/24
BRASP,131.166.134.0/24
BRASP,131.166.136.0/24
BRASP,135.92.40.0/24
BRASP,135.92.41.0/24
BRASP,189.40.176.0/21
BRASP,189.40.98.0/23
BRASP,79.140.91.112/29
BRASP,102.176.132.16/29
BRASP,213.144.191.48/29
BRASP,213.144.191.200/29
CANBM,184.151.126.80/29
CANBM,184.151.126.144/29
CANBM,184.151.126.176/29
CANBM,184.151.126.48/29
CANBM,184.151.126.16/29
CANBM,184.151.62.208/29
CANBM,184.151.62.104/29
CANBM,184.151.126.232/29
CANBM,184.151.126.248/29
CANBM,184.151.126.200/29
CANBM,184.151.126.216/29
CANBM,207.236.105.24/29
CANBM,207.236.223.0/29
CANBM,216.208.105.0/29
CANBM,216.208.105.8/29
CANBM,207.236.223.16/29
CANBM,67.69.81.0/29
CANBM,67.69.81.8/29
CANBM,67.69.81.16/29
CANBM,67.69.81.24/29
CANBM,67.69.81.32/28
CANBM,67.69.81.48/28
CANBM,131.166.142.0/28
CANBM,131.166.142.16/28
CANBM,207.236.105.0/29
CANBM,207.236.105.136/29
CANBM,184.151.62.240/29
CANBM,184.151.177.0/29
CANBM,184.151.172.0/27
CANBM,184.151.174.32/27
CANBM,184.151.228.128/25
CANBM,184.151.228.0/25
CANBM,184.151.229.128/27
CANBM,184.151.174.0/27
CANBM,131.166.145.0/24
CANBM,207.236.238.32/27
CANBM,69.158.209.32/28
CANBM,69.128.235.112/28
CANBM,184.151.183.224/29
CANBM,184.151.183.232/29
CANBM,69.158.233.16/29
CANBM,69.158.233.24/29
CANBM,184.151.0.32/29
CANBM,69.158.242.80/28
CANBM,69.158.244.64/28
CANBM,67.69.72.0/24
CANBM,67.69.64.0/24
CANBM,184.151.126.0/28
CANBM,184.151.126.32/28
CANBM,184.151.174.128/28
CANBM,184.151.174.192/29
CANBM,184.151.174.200/29
CANBM,184.151.174.208/29
CANBM,184.151.174.216/29
CANBM,184.151.174.224/29
CANBM,184.151.229.0/28
CANBM,181.151.229.16/28
CANBM,181.151.229.32/28
CANBM,181.151.229.48/28
CANBM,181.151.229.64/28
CANBM,181.151.229.96/28
CANBM,216.208.36.0/27
CANBM,216.208.36.32/27
CANBM,216.208.36.64/27
CANBM,216.208.36.96/27
CANBM,216.208.36.128/27
CANBM,216.208.36.160/27
CANBM,216.208.36.192/27
CANBM,216.208.36.224/27
CANBM,184.151.229.32/28
CANBM,184.151.229.48/28
CANBM,184.151.229.64/28
CANBM,184.151.229.16/28
CANBM,184.151.229.96/28
CANBM,184.151.229.80/28
CANBM,184.151.174.64/28
CANMC,142.146.244.0/24
CANMC,142.146.247.0/24
CANMC,142.146.253.0/24
CANMC,209.167.5.0/24
CANMC,74.198.68.0/23
CANMC,74.198.70.0/23
CANMC,74.198.72.0/23
CANMC,74.198.88.0/23
CANMC,74.198.96.0/22
CANMC,74.198.56.0/21
CANMC,71.19.0.0/18
CANMM,67.69.81.16/29
CANMM,67.69.81.32/28
CANMM,67.69.81.48/28
CANMM,184.151.62.224/29
CANMM,184.151.62.232/29
CANMM,184.151.172.0/27
CANMM,193.181.247.0/24
CANMM,193.181.247.0/26
CANMM,193.181.247.64/26
CANMM,193.181.247.128/29
CANMM,193.181.247.144/29
CANMM,184.151.174.0/27
CANMM,184.151.126.48/29
CANMM,184.151.126.248/29
CANMM,207.236.223.16/29
CANMM,184.151.229.128/27
CANMM,69.158.209.32/28
CANMM,69.128.235.112/28
CANMM,69.158.242.80/28
CANMM,69.158.244.64/28
CANRW,142.146.244.0/24
CANRW,142.146.247.0/24
CANRW,142.146.253.0/24
CANRW,209.167.5.0/24
CANRW,74.198.68.0/23
CANRW,74.198.70.0/23
CANRW,74.198.72.0/23
CANRW,74.198.88.0/23
CANRW,74.198.96.0/22
CANRW,74.198.56.0/21
CANRW,71.19.0.0/18
CANST,142.165.51.240/29
CANST,142.165.125.240/29
CANST,142.165.51.224/29
CANST,142.165.51.232/29
CANST,142.165.125.224/29
CANST,142.165.125.232/29
CANST,142.165.45.160/29
CANST,142.165.51.248/29
CANST,142.165.125.248/29
CANTE,99.199.246.32/27
CANTE,99.199.246.16/29
CANTE,99.199.242.32/27
CANTE,99.199.242.16/29
CANTE,99.199.250.32/27
CANTE,99.199.250.16/29
CANTE,99.199.254.32/27
CANTE,99.199.254.16/29
CANTE,99.199.246.24/29
CANTE,99.199.250.24/29
CANTE,96.1.200.0/27
CANTE,96.1.201.0/27
CANTE,96.1.138.0/28
CANTE,96.1.138.16/28
CANTE,96.1.138.32/28
CANTE,96.1.138.48/28
CANTE,96.1.138.80/28
CANTE,96.1.138.96/28
CANTE,96.1.201.224/27
CANTE,96.1.200.224/27
CANTE,96.1.200.160/27
CANTE,96.1.201.160/27
CANTE,96.1.138.128/26
CANTE,96.1.168.32/27
CANTE,96.1.168.96/27
CANTE,96.1.168.160/27
CANTE,96.1.168.224/27
CANTE,96.1.169.192/27
CANTE,96.1.169.224/27
CANTE,75.153.174.16/28
CANTE,75.153.174.48/28
CANTE,75.153.174.32/28
CANTE,75.153.174.0/28
CANTE,207.167.225.6/32
CANTE,207.167.225.7/32
CANTE,209.29.226.228/32
CANTE,209.29.226.236/32
CANTE,209.121.166.135/32
CANTE,209.29.244.135/32
CANTE,99.199.223.0/27
CANTE,99.199.223.32/27
CANTE,75.153.174.88/30
CANTE,75.153.156.0/24
CANTE,75.153.146.80/28
CANTE,75.153.174.168/29
CANTE,75.153.174.184/29
CANTS,99.199.246.32/27
CANTS,99.199.246.16/29
CANTS,99.199.242.32/27
CANTS,99.199.242.16/29
CANTS,99.199.250.32/27
CANTS,99.199.250.16/29
CANTS,99.199.254.32/27
CANTS,99.199.254.16/29
CANTS,99.199.246.24/29
CANTS,99.199.250.24/29
CANTS,96.1.200.0/27
CANTS,96.1.201.0/27
CANTS,96.1.138.0/28
CANTS,96.1.138.16/28
CANTS,96.1.138.32/28
CANTS,96.1.138.48/28
CANTS,96.1.138.80/28
CANTS,96.1.138.96/28
CANTS,96.1.201.224/27
CANTS,96.1.200.224/27
CANTS,96.1.200.160/27
CANTS,96.1.201.160/27
CANTS,96.1.138.128/26
CANTS,96.1.168.32/27
CANTS,96.1.168.96/27
CANTS,96.1.168.160/27
CANTS,96.1.168.224/27
CANTS,96.1.169.192/27
CANTS,96.1.169.224/27
CANTS,99.199.223.36/32
CANTS,207.167.225.7/32
CANTS,209.29.226.228/32
CANTS,209.29.226.236/32
CANTS,209.121.166.135/32
CANTS,209.29.244.135/32
CANTS,75.153.174.16/28
CANTS,75.153.174.48/28
CANTS,75.153.174.32/28
CANTS,75.153.174.0/28
CANTS,99.199.223.0/27
CANTS,99.199.223.32/27
CANTS,75.153.174.88/30
CANTS,75.153.156.0/24
CANTS,75.153.146.80/28
CANTS,75.153.174.160/27
CANTS,216.123.241.112/30
CANTS,207.219.175.96/30
CANTS,75.156.200.192/26
CANTS,75.156.195.32/29
CANTS,75.153.147.192/27
CANTS,75.156.205.0/28
CANTS,75.156.205.16/28
CANTS,75.156.195.128/30
CANTS,75.156.205.112/28
CANTS,207.219.3.165/32
CANTS,207.219.3.166/32
CANTS,75.152.128.66/32
CANTS,75.152.128.67/32
CANTS,75.152.128.70/32
CANTS,75.152.128.71/32
CANTS,75.152.128.74/32
CANTS,75.152.128.75/32
CANTS,75.152.128.78/32
CANTS,75.152.128.79/32
CANVT,66.130.6.0/28
CANVT,66.130.6.64/28
CANVT,66.130.6.80/28
CANVT,66.130.6.96/28
CANVT,66.130.6.112/28
CANVT,66.130.6.128/28
CANVT,66.130.6.160/28
CANVT,96.23.2.0/25
CANVT,96.23.2.0/26
CANVT,96.23.2.64/26
CANVT,96.23.2.192/28
CANVT,96.23.2.192/29
CANVT,96.23.2.200/29
CANVT,96.23.2.208/28
CANVT,96.23.2.208/29
CANVT,96.23.2.216/29
CANVT,184.162.85.0/28
CANVT,184.162.85.64/28
CANVT,184.162.85.80/28
CANVT,184.162.85.96/28
CANVT,184.162.85.112/28
CANVT,185.57.216.32/28
CANVT,185.57.216.48/28
CANVT,185.57.216.64/28
CANVT,185.57.216.160/28
CANVT,185.57.216.176/28
CANVT,185.57.216.192/28
CANVT,185.57.218.64/27
CANVT,185.57.218.96/27
CANVT,185.57.218.128/27
CANVT,185.57.218.160/27
CANVT,185.57.218.192/27
CANVT,185.57.218.224/27
CANVT,185.57.219.0/27
CANVT,185.57.219.32/27
CANVT,185.57.219.64/27
CANVT,185.57.219.96/27
CANVT,185.57.219.128/27
CANVT,185.57.219.160/27
CANVT,185.57.219.192/27
